内蒙古呼和浩特市什兰岱村绿色蔬菜基地 -> 纬度: 40.838268, 经度: 111.81064
云南省昆明市官渡区彩云北路149号靠近太平寺（自卫段） -> 纬度: 24.913066, 经度: 102.775039
云南省西双版纳勐腊县勐腊镇 -> 纬度: 21.478673, 经度: 101.56718
云南省普洱市澜沧拉祜族自治县勐朗镇 -> 纬度: 22.555361, 经度: 99.93302
云南玉溪通海县四街镇石板沟 -> 纬度: 24.161946, 经度: 102.705665
云南省蒙自市城子公路 -> 纬度: 23.522654, 经度: 103.380371
云南省德宏州芒市国贸家具制造公司320国道 -> 纬度: 24.46408, 经度: 98.597153
云南省普洱市思茅区新星学苑花园幼儿园对面 -> 纬度: 22.76519, 经度: 100.995555
云南西双版纳勐海县曼兴村 -> 纬度: 21.973403, 经度: 100.451602
云南省昆明市富民县永定街黄坡村 -> 纬度: 25.188454, 经度: 102.522222
云南省昆明市宜良县狗街镇西村 -> 纬度: 24.784992, 经度: 103.15267
云南省玉溪市江川区前卫镇泉溪蔬菜专业合作社 -> 纬度: 24.335493, 经度: 102.732635
北京市延庆旧县镇东龙湾村 -> 纬度: 40.516239, 经度: 116.098612
北京市海淀区上庄镇皂甲屯村翠湖农业观光园 -> 纬度: 40.114464, 经度: 116.221327
北京市延庆区东龙湾村 -> 纬度: 40.457033, 经度: 115.974609
吉林延边州延吉市依兰镇平安村 -> 纬度: 42.958248, 经度: 129.49243
吉林省四平市公主岭市范家屯镇吉林省农科院经济植物研究所 -> 纬度: 43.342195, 经度: 125.313984
吉林省通化市东昌区长流村 -> 纬度: 41.778635, 经度: 125.911309
吉林省延边朝鲜族自治州珲春市国家电网三家子洪电营业厅西 -> 纬度: 42.836905, 经度: 130.307152
吉林长春市绿园村两半屯 -> 纬度: 43.825233, 经度: 125.475012
宁夏省银川市西夏区 -> 纬度: 38.502325, 经度: 106.161208
宁夏省石嘴山市龙泉村 -> 纬度: 38.956109, 经度: 106.289768
宁夏回族自治区中卫市沙坡头区刘庄村 -> 纬度: 37.51696, 经度: 105.403324
宁夏回族自治区银川市金凤区良田镇和顺新村 -> 纬度: 38.364524, 经度: 106.157938
宁夏银川市金凤区通达南街 -> 纬度: 38.461247, 经度: 106.181849
宁夏中卫市沙坡头区沙姚线八字渠小康楼 -> 纬度: 37.528399, 经度: 105.169973
宁夏固原市原州区庙湾村 -> 纬度: 36.025323, 经度: 106.211442
山东省德州市陵城区赵虎镇赵宅 -> 纬度: 37.489824, 经度: 116.541877
山西省繁峙县繁峙镇东城街蔬菜种植区 -> 纬度: 39.189435, 经度: 113.276572
山西省忻州市繁峙县杏园乡古家庄村 -> 纬度: 39.167166, 经度: 113.25893
山西省太原市小店区东浦村 -> 纬度: 37.67066, 经度: 112.527747
山西省太原市小店区 -> 纬度: 37.736865, 经度: 112.565524
山西省繁峙县杏园乡古家庄村 -> 纬度: 39.167166, 经度: 113.25893
山西省太原市尖草坪区权新线史劳模樱桃园 -> 纬度: 38.013874, 经度: 112.531155
新疆阿拉尔塔里木大学 -> 纬度: 40.54447, 经度: 81.2973
新疆维吾尔自治区阿拉尔市十团 -> 纬度: 40.547205, 经度: 81.280532
新疆伊宁市克伯克于孜乡园艺场 -> 纬度: 43.948548, 经度: 81.392446
新疆伊犁霍城县三宫乡蔬菜基地 -> 纬度: 44.142831, 经度: 80.829186
新疆伊犁霍城县三宫乡 -> 纬度: 44.142831, 经度: 80.829186
新疆伊犁霍城县清水河镇农科站村 -> 纬度: 44.198399, 经度: 80.765324
新疆喀什市疏勒县古格代勒克 -> 纬度: 39.375191, 经度: 76.020218
新疆伊犁霍城县三宫乡沙湾村 -> 纬度: 44.127162, 经度: 80.838508
新疆阿克苏市乔格塔勒村 -> 纬度: 41.125331, 经度: 80.279666
新疆塔城兵团第九师团结农场 -> 纬度: 46.233117, 经度: 83.031968
新疆哈密市伊州区西戈壁农业综合开发区 -> 纬度: 42.824162, 经度: 93.446942
新疆伊犁霍城县清水河镇 -> 纬度: 44.183956, 经度: 80.745642
新疆阿克苏市良种场 -> 纬度: 41.16755, 经度: 80.263387
新疆喀什地区疏勒县阿日勒可 -> 纬度: 39.401173, 经度: 76.047169
新疆和田区和田县经济新区和谐新村 -> 纬度: 37.275038, 经度: 79.836781
新疆巴音郭楞蒙古自治州和硕县曲惠乡 -> 纬度: 42.273285, 经度: 87.109651
新疆博尔塔拉蒙古自治州双河市兵团八十四团 -> 纬度: 44.840524, 经度: 82.353656
新疆喀什市外运车队巴格艾日克路 -> 纬度: 39.498002, 经度: 75.999428
江苏扬州邗江槐泗蔬菜基地 -> 纬度: 32.473704, 经度: 119.440371
江苏省扬州市槐泗蔬菜基地 -> 纬度: 32.473704, 经度: 119.440371
河南省许昌市襄城县十里铺乡卢园村 -> 纬度: 33.875399, 经度: 113.441798
海南省澄迈县永发镇 -> 纬度: 19.747359, 经度: 110.19532
湖北省武汉市洪山区华中农业大学 -> 纬度: 30.472223, 经度: 114.355923
湖北省恩施市金子坝路耿家坪村 -> 纬度: 30.319724, 经度: 109.497839
甘肃省白银市白银区强湾乡强湾村 -> 纬度: 36.423561, 经度: 104.216203
甘肃省白银市白银区水川镇顺安村 -> 纬度: 36.364029, 经度: 104.303367
甘肃省天水潘集寨村 -> 纬度: 34.538869, 经度: 105.947244
甘肃省白银市会宁县杨崖集镇东阳村 -> 纬度: 35.620663, 经度: 105.459187
甘肃省白银市白银区强湾乡麦地沟村 -> 纬度: 36.423322, 经度: 104.195815
甘肃省陇南市武都区东江镇吉李家咀村 -> 纬度: 33.362086, 经度: 104.950849
甘肃省武威市凉州区高坝镇傅家庄 -> 纬度: 37.995584, 经度: 102.611573
甘肃酒泉市肃州区泉湖镇永久四组 -> 纬度: 39.729881, 经度: 98.562352
甘肃平凉庄浪县水洛镇 -> 纬度: 35.203468, 经度: 106.04335
甘肃天水市天水南站 -> 纬度: 34.549777, 经度: 105.85647
甘肃省酒泉市敦煌市于家墩村 -> 纬度: 40.119319, 经度: 94.637013
甘肃白银 -> 纬度: 36.545123, 经度: 104.138872
甘肃省白银市白银区水川镇顾家善村 -> 纬度: 36.339654, 经度: 104.213354
贵州省修文县龙场镇新生村 -> 纬度: 26.853083, 经度: 106.616466
贵州省遵义市红花岗区平庄花园东南326国道 -> 纬度: 27.698311, 经度: 106.972999
贵州省黔南布依族苗族自治州都匀市大坪镇柏家寨 -> 纬度: 26.008316, 经度: 107.644835
贵州省都匀市墨冲镇良亩村 -> 纬度: 26.041361, 经度: 107.496007
贵州省安顺市西秀区虹阳经济开发区幺铺镇大屯村 -> 纬度: 26.199126, 经度: 105.873696
贵州省黔西南布依族苗族自治州兴义市顶效镇绿化村 -> 纬度: 25.176849, 经度: 105.007205
贵州省兴义市黄草街道 -> 纬度: 25.088387, 经度: 104.897439
贵州省毕节市威宁县卖香桥 -> 纬度: 26.847422, 经度: 104.291571
贵州遵义市赤水县幸福里小区 -> 纬度: 28.575614, 经度: 105.704213
贵州省贵阳花溪区隆平路 -> 纬度: 26.503522, 经度: 106.660951
贵州毕节威宁县哲觉镇居东村 -> 纬度: 26.54508, 经度: 103.911487
黑龙江牡丹江市阳明区铁岭河 -> 纬度: 44.597155, 经度: 129.677305
黑龙江省绥化市北林区太平街 -> 纬度: 46.643271, 经度: 127.015315
西藏省拉萨市 -> 纬度: 29.653491, 经度: 91.171924
西藏拉萨 -> 纬度: 29.653491, 经度: 91.171924
西藏省日喀则市 -> 纬度: 29.266838, 经度: 88.880423
西藏省林芝市 -> 纬度: 29.64875, 经度: 94.361436
西藏省山南市 -> 纬度: 29.648694, 经度: 91.117449
西藏山南市乃东路 -> 纬度: 29.234418, 经度: 91.772098
西藏日喀则市日喀则农业科学院 -> 纬度: 29.233401, 经度: 88.889941
西藏拉萨市金珠西路农科路 -> 纬度: 29.636703, 经度: 91.033647
西藏山南市乃东路山南第一高级中学 -> 纬度: 29.234418, 经度: 91.772098
西藏林芝市八吉村 -> 纬度: 29.64875, 经度: 94.361436
西藏昌都卡若区小恩达村 -> 纬度: 31.158424, 经度: 97.128573
西藏拉萨市城关区白定村 -> 纬度: 29.638122, 经度: 91.238775
西藏拉萨市城关区北京东路农业局 -> 纬度: 29.652876, 经度: 91.133801
四川省攀枝花市仁和区中坝乡团山中学 -> 纬度: 26.418968, 经度: 101.766484
四川省攀枝花市米易县新林村 -> 纬度: 26.922499, 经度: 102.094341
四川省西昌市会理市羊木村 -> 纬度: 26.655047, 经度: 102.244774
四川省西昌市会理市南阁中学 -> 纬度: 26.655047, 经度: 102.244774
新疆维吾尔族自治区乌鲁木齐市新疆农业科学院 -> 纬度: 43.815311, 经度: 87.573087
宁夏回族自治区银川市金凤区正源北街 -> 纬度: 38.523179, 经度: 106.256192
西藏昌都市卡若区小恩达村 -> 纬度: 31.158424, 经度: 97.128573
西藏昌都市卡若区卡若镇瓦约村 -> 纬度: 30.898252, 经度: 97.342281
宁夏银川贺兰县金贵镇银河六队 -> 纬度: 38.466716, 经度: 106.405209
甘肃省白银市会宁县郭城驿站阳光街康园小区南 -> 纬度: 36.242775, 经度: 104.885722
云南省楚雄元谋县植保检疫站 -> 纬度: 25.704499, 经度: 101.87434
云南省曲靖市马龙区王家庄街道下龙井村 -> 纬度: 25.475084, 经度: 103.499789
西藏林芝市墨脱县墨脱镇墨脱村背隆 -> 纬度: 29.318976, 经度: 95.321375
西藏林芝市下察隅镇 -> 纬度: 28.499699, 经度: 97.017394
西藏林芝市巴宜区318国道柳树山庄 -> 纬度: 29.576641, 经度: 94.452581
西藏拉萨市曲水县鑫赛瓜果蔬菜园区 -> 纬度: 29.354293, 经度: 90.743355
西藏拉萨市堆龙德庆区羊达设施农业示范园 -> 纬度: 29.665537, 经度: 90.945224
甘肃省农业科学院张掖节水农业试验站 -> 纬度: 38.924766, 经度: 100.449858
