commit,probability,prediction,vulnerability_type
20b82b514d81a64f5b240788e5051167456af379,0.0,0,0
96f452ac647dae33c53c242ef3266b65a9beafb6,0.0,0,0
17cb66b13997b0159b4253b3f5722db79f476d68,0.01,0,0
34b1087870c2,0.01,0,0
72a50e400d98d7a2fd610caedfeb9af043dc5582,0.0,1,CWE-20
4e677b9c40ccbc5f090971b31dc2fe07bf05541d,0.61,1,CWE-120
83eaddab4378db256d00d295bda6ca997cd13a52,0.0,0,0
9970308c88dda1e55a10c970b73ff64e8f678d8f,0.0,0,0
dbeb9a56a638e3fdcef8b691c2a2967132dae692,0.0,0,0
7f14c7227f342d9932f9b918893c8814f86d2a0d,0.0,1,CWE-521
4859d69e07504d4b0a4bdf9bcb4d9e3769ca35ae,0.0,0,0
c55b476aa0e0bd4ee99d0f3ad18d9d706cd1260a,0.0,0,0
ef0c008ee84bad91ec6725ddc42091e19a30cf0e,0.65,1,CWE-120
45f6fad84cc305103b28d73482b344d7f5b76f39,0.0,0,0
0a515a06c5ebfa46fee3ac519e418f801e718da4,0.01,0,0
71aaeaf020340412b8d012fe23a556c0420eda5f,0.02,0,0
a74768f8e4efbda4def9f16ee7e13cf3922ac5f7,0.02,0,0
c3c87e770458aa004bd7ed3f29945ff436fd6511,0.01,0,0
c2892f02712e9516d72841d5c019ed6916329794,0.01,0,0
c151e0660b9736fe66b224f1129a16871165251b,0.05,0,0
84d73cd3fb142bf1298a8c13fd4ca50fd2432372,0.0,1,CWE-259
99798bd9a41bd3d03fdc1e949810a38967f20ed3,0.0,1,CWE-259
c1577110467b701dcbcf9439ac225ea851b47d22,0.0,0,0
c243f4539233053466c1309bde606815351bee81,0.0,0,0
b204ff4846fe84b7789893c6b1d9afbdecac5b5d,0.0,0,0
c51f6177576d7e12,0.0,1,CWE-639
156d3911952d73b03d7420dc3540215247db0fe8,0.0,0,0
6f5a55f1a6c5abee15a0e878e5c74d9f1569b8b0,0.0,0,0
392fa7a952e97d82eac6958c81ed1e256e6b8ca5,0.0,0,0
e79b0cf7e72404750630bc01340e999f3940dbc4,0.01,0,0
4dca546d04321a610c1835010b5dad85163b65e1,0.0,0,0
71b3c126e61177eb693423f2e18a1914205b165e,0.0,0,0
37f2c716f2c6ab14c3ba557a539c3ee3224931b5,0.04,0,0
0da8b8b801f9276359262f1ef8274c7812d3dfda,0.0,0,0
a117dacde0288f3ec60b6e5bcedae8fa37ee0dfc,0.0,0,0
29e5470e6ab84badbc31f4532bb7554a796d9d52,0.0,0,0
c547dbf55d5f8cf615ccc0e7265e98db27d3fb8b,0.0,0,0
e95c9a493a5a8d6f969e86c9f19f80ffe6587e19,0.0,0,0
15f081c89650dccee4aa4ae66f614c3fdb268767,0.0,0,0
1cbd25ca15383394ffa9ee8601c5de4c0f2f90e1,0.01,0,0
9decfc17bb76da34734296048d390b176abf404c,0.0,0,0
bd27a9364ca274ca97f1df6d984e88a0700fb235,0.01,0,0
7a7b5df84b6b4e5d599c7289526eed96541a0654,0.0,1,CWE-434
a6e544b0a88b53114bfa5a57e21b7be7a8dfc9d0,0.0,0,0
11b426ee05eb62ed103218526f1fa616851c43ce,0.0,1,CWE-22
1a51410abe7d0ee4b1d112780f46df87d3621043,0.0,0,0
4607052c482a51dbdacfe1ade10645c181d07b07,0.0,0,0
cd4663dc80323ba64989d0c103d51ad3ee0e9c2f,0.0,0,0
0dd1a733e60cf5239c0a185d4219ba2ef1118a8b,0.01,0,0
8108e0a6db133f3375608303fdd2083eb5115062,0.0,0,0
1b1ec5ce75e224bd1755650c18ccdaa6dc53e605,0.0,0,0
a09acd0decd8a87ccce939d5ff65dab59e7d365b,0.0,0,0
717df38fd8509bf883b70d680c9b1b3cf36732ee,0.02,0,0
ac8147a06ed2e2403fb6b9a0c03e618a9333c0e9,0.0,0,0
3ca657a8793dd011bf869695d72ad31c779c3cc1,0.02,0,0
4751b606fa38edc456d627140898a7ec679fcc24,0.0,0,0
04c05a21e34cec326f1aff2f5f8a6e74e1ced984,0.0,0,0
7fe2e3df308b8b6a901cb2cfd60f398df53219de,0.0,0,0
ace0c15a22f7f054abcc1f53eabbcb0a1239a9e2,0.01,0,0
15d3042a937c13f5d9244241c7a9c8416ff6e82a,0.0,0,0
092904b80edbc4dce315684a59cc3184c45c1b70,0.0,1,CWE-539
83c64fce3a5226b080e535f5131a8a318f30e79b,0.0,0,0
1ccfe21e14c4d18336f9da8515cd17db88c3de61,0.0,0,0
7c2c5ba5b8e3a0b2b82f56c71dfab74ed4006df7,0.0,0,0
cc22cd546bd0b0e1b55c1835403ab564d5f30581,0.0,0,0
56706427f53cc64793870bf072c2c06248ae88f3,0.0,0,0
338c7dbadd2671189cec7faf64c84d01071b3f96,0.05,0,0
532f5c5a547126c634fefd43bbad1dc6417678ac,0.0,0,0
c5b0d5f8ac19888e46ca14b0e27562e7fbbee9a9,0.03,0,0
e1d8008a09d9390ebaf698abe8909e10dfec4097,0.0,0,0
26b87c7881006311828bb0ab271a551a62dcceb4,0.01,0,0
951b6a0717db97ce420547222647bcc40bf1eacd,0.01,0,0
0f2ff82e11c86c05d051cae32b58226392d33bbf,0.01,0,0
66ab38918c911bcff025562cf06237d7fedaba0c,0.01,0,0
96047e0e6166407c40cc19f4e94fb35cd7624391,0.0,0,0
d0c7feaf87678371c2c09b3709400be416b2dc62,0.0,1,CWE-275
f3951a3709ff50990bf3e188c27d346792103432,0.0,0,0
dabd48caf74995e605f1700344f1ff4a5d83441d,0.0,0,0
54655623a82632e7624714d7b2a3e039dc5faa7e,0.0,0,0
234f3ce485d54017f15cf5e0699cff4100121601,0.0,0,0
6a984bf7905c6621281588431f384e79d11a2e33,0.03,1,CWE-264
77751427a1ff25b27d47a4c36b12c3c8667855ac,0.0,0,0
385097a3675749cbc9e97c085c0e5dfe4269ca51,0.0,0,0
b03c9f252526bb42fbd1b87b9f5e339c3cf2390a,0.01,0,0
b3646a07348ffa276ea41a9dae03ddc63ea6c532,0.0,0,0
d2371b4b204f0a3c0af51ad4e9b491144dd1225c,0.0,0,0
076b807be472630692c5348c60d0c2b7b28ad437,0.0,0,0
e93b7d748be887cd7639b113ba7d7ef792a7efb9,0.0,0,0
20d161ace307e28690229b68584f2d84556f8960,0.01,0,0
44b7f486c0143f68b56c34e2d01e146ee445134a,0.0,0,0
bef41f6ec4097a8ee094f90a1b34a708fbd757ec,0.0,0,0
2cec957fc9e7d74c03bf4131bbc3228adc7993a6,0.01,0,0
c249913edc35c0e666d783bfc21595cf9f7d9e0d,0.01,0,0
062d0c671a29f7c6f7dff4a2f1f35df375bbb30b,0.0,0,0
9971fb125cf91cefd081a080c417b90bbe4a467b,0.0,0,0
2a3d0ee9d59156c48973592331404471aca886d6,0.01,1,CWE-404
70945643722ffeac779d2529a348f99567fa5c33,0.01,0,0
4600cf725a86ce31266153647ae5aa1197b1215b,0.0,0,0
c727401aa9d62335e89d118a5b4e202edf39d905,0.0,1,CWE-89
f8378920345f4f4604202d4ab15ef64b2aceaa16,0.01,0,0
a6788d1da719ae006605b78d22f5a9f170b423af,0.0,0,0
5e6d1796106df8ba6bc1973ee0917c170d929086,0.0,0,0
90b71c017a7fa9732fe45fd21b245ee051b1f548,0.0,0,0
47e8e6ceef979327614d0b8f0c76c6ecb18e09cf,0.06,0,0
1c109fabbd51863475cd12ac206bdd249aee35af,0.01,1,CWE-922
f8e9881c2aef1e982e5abc25c046820cd0b7cf64,0.0,0,0
92964c79b357efd980812c4de5c1fd2ec8bb5520,0.0,0,0
b1942734c7cbcdc9034034373abcc9ecb9644c47,0.0,0,0
79576219c92e252c0700cdbe729bfb0fe6c72bd9,0.0,0,0
01cff3f986259d661103412a20745928c727326f,0.02,0,0
998c687fb83993c13fa711d75f59a95b38ceab77,0.0,0,0
883a1d49f0d77d30012f114b2e19fc141beb3e8e,0.01,0,0
c9aa9f80828594eacbe3affe16c43d623562e5d8,0.0,0,0
13ab8d18617d616c7d343530f8a842e7143fb5cc,0.0,0,0
6b8ac63847bc2f958dd93c09edc941a0118992d9,0.0,0,0
d8316f3991d207fe32881a9ac20241be8fa2bad0,0.0,0,0
605ec91e5a7330d61be313637e495fa02a6dc264,0.01,0,0
c6e0531b5def26ecf912e8de6ade86cbdaed3751,0.0,0,0
8312eaa576014cd9b965012af51bc1f967b12423,0.0,0,0
2ba8f335fa06daf1165e0878462686028e633a74,0.0,0,0
83d799804648c2a0895d40a19835d9b757c6fa4e,0.02,0,0
a9cf73ea7ff78f52662c8658d93c226effbbedde,0.0,0,0
08c642c09c38a9c6454ab43a9b53b2a89b9eef99,0.06,0,0
0a543725ccdd2a01669122ce79bb67e66ede77f2,0.01,0,0
d13dd30240e32071210f55b587182ff48757ea46,0.0,1,CWE-89
adeeb7f2da801303768ce96e2cacf6a703a69c6f,0.0,0,0
820f9f147dcce2602eefd9b575bbbd9ea14f0953,0.01,0,0
0849a2885f81cfd82134992c06df3ccd59052ac7,0.0,0,0
a559f2a050947f793c00159c0cd4d30f403f217c,0.0,0,0
0f075ec8ecb5e43f8fdca5182f8cca4703da0404,0.0,0,0
9581d442b9058d3699b4be568b6e5eae38a41493,0.67,1,CWE-120
af6fc858a35b90e89ea7a7ee58e66628c55c776b,0.01,0,0
003b686ace820ce2d635a83f10f2d7f9c147dabc,0.0,1,CWE-521
60ae0e71490c97f2871a6344aca61cacf220f813,0.01,1,CWE-22
a79b65c47c7dc6fe623aadf09aa6192fc54548f3,0.0,0,0
f5e10c5a79a17939af763b1dcf5232ce47e24a34,0.01,0,0
3809955065afa3da1ad580012ec43deadbb0f2c8,0.01,0,0
b550a32e60a4941994b437a8d662432a486235a5,0.0,0,0
704620afc70cf47abb9d6a1a57f3825d2bca49cf,0.0,0,0
64066b9acd9f8cffdf4840f797748f938a13f2d6,0.0,0,0
c2a13ced4272f2e65d2773e2ea6ca11c1ce4a911,0.0,0,0
7a4591fd4f065f4fa903593bc39b2f79530a74b8,0.0,0,0
96d87bdda3919bb16f754b3d3fd1227e1f38f13c,0.0,1,CWE-732
ae3c99767a27f5c6c584162e2adc6a5d0eb2c54e,0.0,0,0
005145378c9ad7575a01b6ce1ba118fb427f583a,0.0,0,0
0b760113a3a155269a3fba93a409c640031dd68f,0.0,1,CWE-275
fb83c76deec58f1fab17c350f04c9f042e5977d1,0.0,0,0
6b4aff0f117b978502ee5bcd6e753c17aec5a961,0.0,0,0
95a69adab9acfc3981c504737a2b6578e4d846ef,0.0,0,0
4924b37ee01f71ae19c94a8934b80eeb2f677932,0.0,0,0
ce6841d9e41d621ba23cf18b190ee6a23b2cc833,0.0,0,0
a02ea577174ab8ed18f847cf1693f213e0b9c473,0.0,1,CWE-434
4c1360818fc8948e9307059fba4dc47ba8ad255d,0.01,1,CWE-327
a4e1cd14eb5ccc51ed271b65b3420f7d692c40eb,0.0,0,0
1a1bce0526a77b62e41531b00f8bb5e21fd4f3a3,0.01,0,0
0b29669c065f60501e7289e1950fa2a618962358,0.0,0,0
cf35502463a88ca7185a99daa7031df60b3c1c98,0.0,0,0
8e05648d6b4459facbc783025c5c42d301fef5c3,0.0,0,0
e907746266721f305d67bc0718795fedee2e824c,0.0,0,0
8986422c21fbd9a7bf6561cae65aae42077447e8,0.0,0,0
7f283ff806b2031f407db64c4d3edcda8fb9f9f5,0.0,0,0
64f3b9e203bd06855072e295557dca1485a2ecba,0.0,0,0
56f101ecce0eafd09e2daf1c4eeb1377d6959261,0.0,0,0
c21eff4b031acb04fb4dfce8bd5fdfecc2b6524f,0.01,0,0
06eeacb6fe029804f296b065b3ce91e796e1cd0e,0.0,0,0
8d7970b8f3db727fe798b65f3377fe6787575426,0.01,0,0
9dcfda045474d8903224d175907bfc29761dcb45,0.01,1,CWE-521
1e6a3ace073c9ec9c71e439c111d23c6e66cb6ae,0.0,0,0
608708009f69ba4cecebf05120c696167494c897,0.0,1,CWE-434
06bd3c36a733ac27962fea7d6f47168841376824,0.0,0,0
bbb4af56003c1afdad67af0c4339267ca38b1017,0.0,0,0
8c35502217c1879cb8257c617007282eee3fe1cc,0.0,0,0
c6048f849c7e3f009786df76206e895a69de032c,0.01,0,0
1b79cd04fab80be61dcd2732e2423aafde9a4c1c,0.0,0,0
22e07fb204386768e5bcbea563641ea11f96ceb8,0.0,0,0
57415dda6cf04e73ffc3723be518eddfae599bfd,0.0,0,0
3d3925ff6433f98992685a9679613a2cc97f3ce2,0.0,1,CWE-732
bfc81a8bc18e3c4ba0cbaa7666ff76be2f998991,0.0,0,0
1c56f53be0b722ca657cbc7df461ed676c8642a2,0.01,0,0
44afb3a04391a74309d16180d1e4f8386fdfa745,0.0,0,0
4c3aee4bb0294c232d56b6d34e9eeb74f630fe8c,0.0,0,0
fa1ae0abcde5df8d0b3283299e3f246bedf7692c,0.0,0,0
29efd648f38b73a64d73f14cd2019d869a585888,0.0,0,0
927688ddab43c2b203569de79407a899e734fabe,0.01,0,0
b128abc3437600c3143cb2145185ab87ba3156a2,0.0,0,0
d52680fc932efb8a2f334cc6993e705ed1e31e99,0.0,0,0
a676f235309a59d4aa78eeffd2574ae5d341fcb0,0.0,0,0
d6d86830705f173fca6087a3e67ceaf68db80523,0.0,0,0
6feb37b3b06e9049e20dcf7e23998f92c9c5be9a,0.0,1,CWE-352
3095060f479b86288e31c79ecbc5131a66bcd2f9,0.0,1,CWE-94
e52393740334443ae0206cab2d7caef381646725,0.0,0,0
8b5ecd226f9208af3074b33d3b7cf5e14f55b138,0.01,0,0
0e6fe3a4c96be2d3e88389a5776f878021b4c59f,0.0,1,CWE-521
eb046064ff0f064896ad60508876b8a764fbbca9,0.0,0,0
da885fe1ee8b4589047484bd7fa05a4905b52b17,0.0,0,0
9590232bb4f4cc824f3425a6e1349afbe6d6d2b7,0.0,0,0
8148a73c9901a8794a50f950083c00ccf97d43b3,0.02,0,0
8fa38359634a9910b91719818ab02f23c320dbae,0.0,0,0
dee11ec440d7908d1daf69f40a3324b27cf213ba,0.01,0,0
7afb2d41c6d373cf965285840b85c45011357115,0.01,1,CWE-200
a2e1064f288a353bc5fef7f79ccb7683759e775c,0.0,0,0
d88934406c5375d88f8f1b65331c9f0cab68cc6c,0.01,0,0
d21017b52a585f145e8d62781bcc1c5fefc7ee37,0.0,0,0
83e0f8ffd7eeb7661b0ff83257da23d24ca7f078,0.0,0,0
79ceaf827be0b070675d4cd0a55c3386542defd8,0.0,0,0
26eb323554ffccd173e8a79a8c05c15b685ae4d1,0.01,0,0
a6f9e300161f4cb54713da22f65b261595e8e614,0.03,0,0
63776db384f75b2dc793cab46cf27250d8913711,0.0,0,0
104c307147ad379617472dd91a5bcb368d72bd6d,0.0,0,0
bceaa90240b6019ed73b49965eac7d167610be69,0.02,0,0
4043718264095cde6623c2cbe8c644541036d7bf,0.0,0,0
80f74451f628264d1d9a1f1c0bbcebc932ba5e00,0.0,1,CWE-264
124751d5e63c823092060074bd0abaae61aaa9c4,0.0,0,0
6062a8dc0517bce23e3c2f7d2fea5e22411269a3,0.0,0,0
c5d6e07588cd03061bc54d451a7fa6e84883d62b,0.0,0,0
80367584910885baa1a2a4476a4a31efdcf0c9c0,0.0,0,0
371528caec553785c37f73fa3926ea0de84f986f,0.0,0,0
c68402fa7e279d42886d5951d1ea8ac2facc1ea5,0.01,0,0
5b491cd5e41ad63735161cec9c2a568172c8b6a3,0.0,1,CWE-94
dcd7867de0fea4b72a2b34bd41eb74548dc23886,0.01,0,0
2289adbfa559050d2a38bcd9caac1c18b800e928,0.0,0,0
f12129f1714f7d2301935bb21d896609bdac221c,0.0,0,0
9aaec95e82117c1cb0f9624264c3618fc380cecb,0.0,0,0
6609658db0799053fbef0d7d0aa2f1fd68ef32d8,0.01,0,0
b4cbb197c7e7a68dbad0d491242e3ca67420c13e,0.0,0,0
95e91b831f87ac8e1f8ed50c14d709089b4e01b8,0.0,1,CWE-200
b611c43a5de061ec21b343967e1b64c45c373d7e,0.01,0,0
733ee3208306b1ea32697b356c0215180fc3f049,0.0,0,0
fefaaa43c382eee632ea3ad0cfa915335140e1db,0.0,0,0
1e922ccdf6bf46a3a52641f99fd47d54c1decd13,0.0,0,0
2d35fcc7e9e976a2346b1de20e54f8663e8a6cba,0.01,0,0
08b8e18643d6dcde00890733b270ff8d9960c56c,0.0,0,0
c35f2ccb4433718416551cc7a85afb0860529d57,0.0,0,0
